epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,143.887,0.73988,0.37264,0.85768,0.9835,1,0.995,0.77945,1.07965,0.44418,0.88305,0.000503517,0.000503517,0.000503517
143,144.683,0.83903,0.3848,0.87353,0.98516,1,0.995,0.77906,1.08695,0.44819,0.88454,0.000495266,0.000495266,0.000495266
144,145.61,0.77499,0.36939,0.86481,0.99122,1,0.995,0.79662,1.03153,0.44556,0.87678,0.000487014,0.000487014,0.000487014
145,146.441,0.74914,0.37018,0.84318,0.99278,1,0.995,0.79626,1.02156,0.44505,0.87529,0.000478762,0.000478762,0.000478762
146,147.26,0.7472,0.36754,0.84765,0.99218,1,0.995,0.79113,1.02058,0.45336,0.8734,0.000470511,0.000470511,0.000470511
147,148.048,0.71197,0.35012,0.84238,0.99281,1,0.995,0.7927,1.01219,0.4459,0.87053,0.000462259,0.000462259,0.000462259
148,148.889,0.73812,0.36427,0.85073,0.99432,1,0.995,0.80962,1.01735,0.43089,0.87195,0.000454007,0.000454007,0.000454007
149,149.707,0.72201,0.35905,0.856,0.9943,1,0.995,0.7955,1.02275,0.43897,0.87421,0.000445756,0.000445756,0.000445756
150,150.591,0.75873,0.37136,0.85564,0.99339,1,0.995,0.80193,1.019,0.44113,0.87372,0.000437504,0.000437504,0.000437504
151,151.423,0.76353,0.37064,0.84868,0.99336,1,0.995,0.80218,1.00609,0.43351,0.87124,0.000429253,0.000429253,0.000429253
152,152.365,0.71637,0.35724,0.84657,0.99384,1,0.995,0.82684,0.98481,0.42177,0.8655,0.000421001,0.000421001,0.000421001
153,153.211,0.76179,0.37384,0.85292,0.99417,1,0.995,0.81512,0.99092,0.42085,0.86601,0.000412749,0.000412749,0.000412749
154,154.072,0.74492,0.35973,0.84298,0.99466,1,0.995,0.81103,1.00089,0.4236,0.86712,0.000404498,0.000404498,0.000404498
155,154.89,0.7702,0.37443,0.85218,0.99462,1,0.995,0.81582,0.98126,0.42778,0.86672,0.000396246,0.000396246,0.000396246
156,155.728,0.75692,0.36652,0.84543,0.99387,1,0.995,0.80994,0.98611,0.42708,0.86902,0.000387994,0.000387994,0.000387994
157,156.553,0.74005,0.3641,0.83893,0.99373,1,0.995,0.80941,0.9867,0.42261,0.86529,0.000379743,0.000379743,0.000379743
158,157.404,0.7452,0.36386,0.84284,0.99374,1,0.995,0.80891,0.9963,0.42372,0.86576,0.000371491,0.000371491,0.000371491
159,158.218,0.72246,0.34926,0.84747,0.99423,1,0.995,0.80829,0.99553,0.4302,0.86788,0.000363239,0.000363239,0.000363239
160,159.154,0.72993,0.36096,0.85013,0.99554,1,0.995,0.79717,1.02348,0.44122,0.87373,0.000354988,0.000354988,0.000354988
161,159.976,0.75923,0.37164,0.85212,0.99567,1,0.995,0.80002,0.99842,0.4367,0.86748,0.000346736,0.000346736,0.000346736
162,160.809,0.74314,0.36536,0.84948,0.99521,1,0.995,0.81072,0.99547,0.41656,0.86472,0.000338484,0.000338484,0.000338484
163,161.632,0.73885,0.34712,0.84879,0.99485,1,0.995,0.80798,1.00473,0.41061,0.8667,0.000330233,0.000330233,0.000330233
164,162.463,0.7341,0.35482,0.85328,0.9946,1,0.995,0.8126,0.99454,0.40582,0.86873,0.000321981,0.000321981,0.000321981
165,163.264,0.70579,0.34615,0.8429,0.99461,1,0.995,0.80462,1.00644,0.41105,0.87446,0.000313729,0.000313729,0.000313729
166,164.095,0.71286,0.36176,0.85472,0.99412,1,0.995,0.8071,1.015,0.42261,0.87832,0.000305478,0.000305478,0.000305478
167,164.905,0.72509,0.34351,0.84185,0.99373,1,0.995,0.81467,0.99309,0.41472,0.87203,0.000297226,0.000297226,0.000297226
168,165.868,0.71569,0.34823,0.83215,0.99341,1,0.995,0.81891,0.96837,0.41139,0.86258,0.000288974,0.000288974,0.000288974
169,166.673,0.7309,0.34777,0.85788,0.99354,1,0.995,0.81753,0.96681,0.41562,0.86204,0.000280723,0.000280723,0.000280723
170,167.523,0.71753,0.33966,0.84081,0.99417,1,0.995,0.81518,0.98607,0.42094,0.8682,0.000272471,0.000272471,0.000272471
171,168.362,0.71896,0.35058,0.83505,0.9944,1,0.995,0.81993,0.98148,0.41574,0.86769,0.00026422,0.00026422,0.00026422
172,169.224,0.7285,0.33874,0.8442,0.99392,1,0.995,0.82124,0.96715,0.40462,0.86359,0.000255968,0.000255968,0.000255968
173,170.023,0.67546,0.32992,0.84557,0.99202,0.99902,0.995,0.81686,0.97644,0.40077,0.86457,0.000247716,0.000247716,0.000247716
174,170.861,0.68344,0.33064,0.84047,0.99462,0.9904,0.995,0.81956,0.98161,0.40965,0.86823,0.000239465,0.000239465,0.000239465
175,171.684,0.70061,0.34298,0.85099,0.99483,0.99036,0.995,0.81816,0.98822,0.41962,0.87116,0.000231213,0.000231213,0.000231213
176,172.599,0.69338,0.3345,0.8548,0.99509,0.99034,0.995,0.81946,0.99914,0.42829,0.87506,0.000222961,0.000222961,0.000222961
177,173.417,0.70657,0.33509,0.83801,0.99469,0.99033,0.995,0.81382,0.9958,0.42615,0.87376,0.00021471,0.00021471,0.00021471
178,174.276,0.67222,0.33532,0.83685,0.99445,0.99045,0.995,0.81506,0.99228,0.41023,0.87058,0.000206458,0.000206458,0.000206458
179,175.097,0.70758,0.34412,0.84358,0.98678,1,0.995,0.81385,0.98595,0.40472,0.86877,0.000198206,0.000198206,0.000198206
180,175.925,0.69566,0.32738,0.84693,0.99428,1,0.995,0.82407,0.96928,0.40375,0.8675,0.000189955,0.000189955,0.000189955
181,176.74,0.69376,0.33629,0.8315,0.99482,1,0.995,0.82077,0.97446,0.40471,0.86873,0.000181703,0.000181703,0.000181703
182,177.59,0.70627,0.33461,0.83567,0.9948,1,0.995,0.8253,0.97632,0.40614,0.86977,0.000173451,0.000173451,0.000173451
183,178.394,0.67175,0.32446,0.83567,0.99479,1,0.995,0.82805,0.97289,0.40356,0.86816,0.0001652,0.0001652,0.0001652
184,179.353,0.7002,0.3369,0.85064,0.99466,1,0.995,0.82139,0.98047,0.39673,0.86768,0.000156948,0.000156948,0.000156948
185,180.166,0.6769,0.32915,0.83422,0.99454,1,0.995,0.81872,0.98928,0.39629,0.86763,0.000148696,0.000148696,0.000148696
186,181.074,0.7137,0.33492,0.84383,0.99454,1,0.995,0.8174,0.98713,0.39731,0.86795,0.000140445,0.000140445,0.000140445
